2018-2019,6270
2017-2018,6049
2016-2017,5823
2015-2016,5576
2014-2015,4614
2013-2014,5441
2012-2013,5439
2011-2012,5437
2010-2011,5435
2009-2010,5433
2008-2009,5365
2007-2008,5363
2006-2007,5361
2005-2006,5359
2003-2004,5355
2002-2003,5353
2001-2002,5351
2000-2001,5349
1999-2000,5347
1998-1999,5345
1997-1998,5343
1996-1997,5341
1995-1996,5339
1994-1995,5337
1993-1994,5335
1992-1993,5333
1991-1992,5331
1990-1991,5329
1989-1990,5327
1988-1989,5325
1987-1988,5323
1986-1987,5321
1985-1986,5319
1984-1985,5317
1983-1984,5315
1982-1983,5313
1981-1982,5311
1980-1981,5309
1979-1980,5307
1978-1979,5305
1977-1978,5303
1976-1977,5301
1975-1976,5299
1974-1975,5297
1973-1974,5295
1972-1973,5293
1971-1972,5291
1970-1971,5289
1969-1970,5287
1968-1969,5285
1967-1968,5285
1966-1967,5281
1965-1966,5279
1964-1965,5277
1963-1964,5275
1962-1963,5273
1961-1962,5271
1960-1961,5269
1959-1960,5267
1958-1959,5265
1957-1958,5263
1956-1957,5261
